unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1597554000,8-16-20 5:00,ETH/USDT,428.04,429.6,427.72,428.72,122785.12,286.33
1597550400,8-16-20 4:00,ETH/USDT,426.52,429.02,425.64,428.04,155485.88,363.79
1597546800,8-16-20 3:00,ETH/USDT,426.5,429.07,426.11,426.52,163968.25,383.7
1597543200,8-16-20 2:00,ETH/USDT,429.82,429.82,426.39,426.5,94623.08,221.26
1597539600,8-16-20 1:00,ETH/USDT,426.99,429.86,422.6,429.82,458781.64,1078.64
1597536000,8-16-20 0:00,ETH/USDT,432.2,432.99,426.99,426.99,136822.3,318.52
1597532400,8-15-20 23:00,ETH/USDT,431.57,432.98,429.3,432.2,190124.94,440.67
1597528800,8-15-20 22:00,ETH/USDT,432.98,435.5,431.22,431.57,209277.33,482.98
1597525200,8-15-20 21:00,ETH/USDT,432.22,433.55,428.76,432.98,315424.06,730.8
1597521600,8-15-20 20:00,ETH/USDT,432.08,434.48,431.33,432.22,156309.29,360.9
1597518000,8-15-20 19:00,ETH/USDT,435.73,436,431.84,432.08,81905.28,188.9
1597514400,8-15-20 18:00,ETH/USDT,435.25,435.94,433.4,435.73,222443.12,511.45
1597510800,8-15-20 17:00,ETH/USDT,434.9,436.57,434.63,435.25,156573.73,359.4
1597507200,8-15-20 16:00,ETH/USDT,436.33,438.87,433.25,434.9,176390.61,403.97
1597503600,8-15-20 15:00,ETH/USDT,432.69,437.79,431.78,436.33,438320.92,1005.53
1597500000,8-15-20 14:00,ETH/USDT,432,433.78,428.6,432.69,148958.21,345.59
1597496400,8-15-20 13:00,ETH/USDT,430.66,433.68,430.27,432,167650.58,387.9
1597492800,8-15-20 12:00,ETH/USDT,434.07,436.53,429.81,430.66,512881.44,1185.08
1597489200,8-15-20 11:00,ETH/USDT,435.13,436.8,434.03,434.07,80044.63,183.85
1597485600,8-15-20 10:00,ETH/USDT,435.97,438,434.43,435.13,357010.1,817.3
1597482000,8-15-20 9:00,ETH/USDT,433.63,437.42,431.58,435.97,281343.51,648.01
1597478400,8-15-20 8:00,ETH/USDT,437.27,438.61,427.22,433.63,724018.22,1679.26
1597474800,8-15-20 7:00,ETH/USDT,438.5,438.5,436.26,437.27,108222.4,247.51
1597471200,8-15-20 6:00,ETH/USDT,438.97,439.74,438.23,438.5,75637.1,172.29
1597467600,8-15-20 5:00,ETH/USDT,438.32,439.01,435.51,438.97,138112.51,315.75
1597464000,8-15-20 4:00,ETH/USDT,438.96,440.09,436.75,438.32,154399.87,352.67
1597460400,8-15-20 3:00,ETH/USDT,439.57,440.42,438.06,438.96,115994.78,264.3
1597456800,8-15-20 2:00,ETH/USDT,440.3,442.93,439.57,439.57,166321.69,377.43
1597453200,8-15-20 1:00,ETH/USDT,438.66,441.19,437.1,440.3,128739.72,293.48
1597449600,8-15-20 0:00,ETH/USDT,437.88,440.33,435.7,438.66,338114.16,771.62
1597446000,8-14-20 23:00,ETH/USDT,439.39,440,435.35,437.88,215269.72,491.5
1597442400,8-14-20 22:00,ETH/USDT,437.4,439.7,434.95,439.39,140753.21,321.35
1597438800,8-14-20 21:00,ETH/USDT,438.9,439.12,434.65,437.4,215996.48,495.05
1597435200,8-14-20 20:00,ETH/USDT,441,442.1,437.11,438.9,279114.93,635.31
1597431600,8-14-20 19:00,ETH/USDT,442,443.29,439,441,348605.22,789.87
1597428000,8-14-20 18:00,ETH/USDT,440.01,444,439.64,442,834068.17,1884.44
1597424400,8-14-20 17:00,ETH/USDT,440.98,441.51,436.52,440.01,459159.25,1045.33
1597420800,8-14-20 16:00,ETH/USDT,436.43,444,432.05,440.98,1084931.3,2466.91
1597417200,8-14-20 15:00,ETH/USDT,426.26,436.89,423.9,436.43,738345.19,1710.96
1597413600,8-14-20 14:00,ETH/USDT,425.65,426.69,422.3,426.26,265103.16,624.88
1597410000,8-14-20 13:00,ETH/USDT,426.3,426.33,422.72,425.65,396359.14,934.24
1597406400,8-14-20 12:00,ETH/USDT,427.94,428.03,425,426.3,324493.32,761.14
1597402800,8-14-20 11:00,ETH/USDT,424.3,428.5,422.84,427.94,405054.75,949.99
1597399200,8-14-20 10:00,ETH/USDT,423.75,426.99,422.89,424.3,429711.38,1012.01
1597395600,8-14-20 9:00,ETH/USDT,422.8,424.5,421.95,423.75,195430.28,461.55
